Brand,Processor,Operating_System,Storage,RAM,Touch_Screen,Price
ASUS,Core i5,Windows 11 Home,2000,16,0,85990
DELL,Ryzen 3 Dual Core,Windows 10,1000,8,0,35855
ASUS,Core i5,Windows 11 Home,512,16,0,69990
HP,Core i3,Windows 11 Home,512,8,0,52250
CHUWI,Core i3,Windows 11 Home,512,12,1,33990
HP,Core i3,Windows 11 Home,512,8,0,38990
MSI,Core i7,Windows 11 Home,2000,16,0,90990
ASUS,Core i3,Windows 11 Home,512,8,0,33990
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Core i5,Windows 11 Home,512,8,0,46990
ASUS,Core i5,Windows 11 Home,512,8,1,47990
HP,Core i3,Windows 11 Home,512,8,1,38500
Infinix,Core i5,Windows 11 Home,512,16,0,34990
DELL,Core i3,Windows 11 Home,512,8,0,42000
HP,Core i5,Windows 11 Home,512,16,0,53990
HP,Core i5,Windows 11 Home,512,8,0,49990
HP,Ryzen 7 Octa Core,Windows 11 Home,1000,16,0,110990
HP,Core i5,Windows 11 Home,512,16,0,94990
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
Infinix,Core i3,Windows 11 Home,256,8,0,29990
ASUS,MediaTek Kompanio 500,Chrome,128,4,1,22990
MSI,Core i9,Windows 11 Home,6000,64,0,489990
ASUS,Core i3,Windows 11 Home,512,8,0,45990
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Core i5,Windows 11 Home,512,8,0,46990
ASUS,Core i3,Windows 11 Home,512,8,0,45500
ASUS,Core i5,Windows 11 Home,512,8,0,45116
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i5,Windows 11 Home,512,16,0,53990
Lenovo,Core i3,Windows 11 Home,256,8,0,32490
Lenovo,Ryzen 3 Quad Core,DOS,512,8,0,27990
SAMSUNG,Core i7,Windows 11 Home,512,16,1,153990
DELL,Ryzen 5 Hexa Core,Windows 11 Home,512,8,0,38990
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i5,Windows 11 Home,512,8,0,49990
Acer,Core i5,Windows 11 Home,512,8,0,48990
Acer,Core i5,Windows 11 Home,512,8,1,39349
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
Lenovo,MediaTek Kompanio 520,Chrome,128,8,0,20990
HP,Core i7,Windows 11 Home,512,16,1,89990
HP,Core i5,Windows 11 Home,512,8,0,60990
Lenovo,Ryzen 3 Quad Core,Windows 11 Home,512,8,0,33999
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i3,Windows 11 Home,512,8,0,37990
ASUS,Ryzen 3 Quad Core,Windows 11 Home,512,8,0,34490
Infinix,Core i7,Windows 11 Home,512,16,0,48990
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i5,Windows 11 Home,512,16,0,53990
DELL,Ryzen 3 Dual Core,Windows 10,1000,8,0,35855
HP,Ryzen 5 Hexa Core,Windows 10 Home,512,8,0,53200
DELL,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,50990
HP,Core i3,Windows 11 Home,2000,8,0,37490
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i5,Windows 11 Home,512,8,0,49990
Acer,Ryzen 5 Hexa Core,Windows 11 Home,512,8,0,54990
HP,Core i5,Windows 11 Home,512,16,0,57990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
MSI,Core i5,Windows 11 Home,4000,8,0,72990
HP,Ryzen 7 Octa Core,Windows 11 Home,1000,16,0,110990
HP,Core i5,Windows 11 Home,512,16,0,66990
HP,Core i5,Windows 11 Home,512,8,0,53990
Lenovo,Core i3,Windows 11 Home,512,8,0,34990
DELL,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,93003
CHUWI,Core i5,Windows 11 Home,1000,16,0,32990
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i5,Windows 11 Home,512,16,1,65499
DELL,Core i5,Windows 11 Home,1000,8,1,67890
DELL,Core i3,Windows 11 Home,512,8,0,37886
DELL,Core i5,Windows 11 Home,512,8,1,54490
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Core i5,Windows 11 Home,512,8,0,46990
ASUS,Core i3,Windows 11 Home,512,8,0,33990
Acer,Core i5,Windows 11 Home,512,8,0,48990
HP,Core i5,Windows 11 Home,512,16,0,53990
HP,Core i5,Windows 11 Home,512,8,0,49990
HP,Core i7,Windows 11 Home,512,16,1,89990
DELL,Core i3,Windows 11 Home,1000,8,0,38499
ASUS,Ryzen Z1 Octa Core,Windows 11 Home,512,16,1,59990
Acer,Ryzen 5 Hexa Core,Windows 10 Home,1000,8,0,62990
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
HP,Core i5,Windows 11 Home,512,8,0,49749
ASUS,Celeron Dual Core,Chrome,128,4,0,16990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
HP,Core i5,Windows 11 Home,512,16,0,66990
ASUS,Core i5,Windows 11 Home,512,16,0,59990
Lenovo,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,83990
Lenovo,Ryzen 5 Hexa Core,Windows 11 Home,512,8,0,52890
DELL,Core i5,Windows 11 Home,512,8,1,45990
HP,Core i5,Windows 11 Home,512,16,0,53990
HP,Core i3,Windows 11 Home,512,8,0,37990
MSI,Core i7,Windows 11 Home,1000,16,0,147743
Acer,Celeron Dual Core,Chrome,128,8,0,23990
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i3,Windows 11 Home,512,8,0,38990
ASUS,Core i7,Windows 11 Home,512,16,0,119990
Infinix,Celeron Quad Core,Windows 11 Home,128,4,0,20990
ASUS,Core i5,Windows 11 Home,512,8,0,49990
HP,Ryzen 7 Octa Core,Windows 11 Home,512,16,1,64600
HP,Core i5,Windows 11 Home,512,8,0,49990
HP,Core i5,Windows 11 Home,1000,16,0,66999
GIGABYTE,Core i5,Windows 11 Home,512,16,0,72990
Lenovo,Core i3,Windows 11 Home,256,8,0,34490
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
ASUS,Core i3,Windows 11 Home,512,8,0,37990
ASUS,Core i9,Windows 11 Home,1000,16,1,199990
MSI,Core i5,Windows 11 Home,4000,16,0,48990
Lenovo,Ryzen 7 Octa Core,Windows 11 Home,1000,16,0,109990
HP,Core i5,Windows 11 Home,512,16,0,66990
HP,Core i5,Windows 11 Home,512,8,0,53990
Lenovo,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,66388
Acer,Core i5,Windows 11 Home,512,8,0,58500
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i3,Windows 11 Home,512,8,0,37990
realme,Core i5,Windows 11 Home,512,16,0,56999
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,1,78890
Lenovo,Core i5,Windows 10 Home,1000,16,0,58890
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,46150
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i5,Windows 11 Home,512,16,0,53990
ASUS,Core i5,Windows 11 Home,512,16,0,64990
ASUS,Core i5,Windows 11 Home,512,8,0,49990
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i5,Windows 11 Home,512,8,0,49990
ASUS,Core i9,Windows 11 Home,1000,32,0,179990
MSI,Core i7,Windows 11 Home,512,16,0,64990
ASUS,Core i5,Windows 11 Home,1000,16,0,144990
Acer,Core i5,Windows 11 Home,512,16,0,54990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
SAMSUNG,Core i7,Windows 11 Home,512,16,0,124990
GIGABYTE,Core i5,Windows 11 Home,512,16,0,72990
HP,Core i5,Windows 11 Home,512,16,0,66990
HP,Core i5,Windows 11 Home,512,8,0,53990
WINGS,Core i3,Windows 11 Home,512,8,0,25990
HP,Core i5,Windows 11 Home,512,16,0,74900
Infinix,Celeron Quad Core,Windows 11 Home,128,4,0,20990
ASUS,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,53890
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Core i7,Windows 11 Home,512,16,1,85999
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i5,Windows 11 Home,512,16,0,53990
Lenovo,Core i5,Windows 11 Home,512,8,0,47990
GIGABYTE,Core i5,Windows 11 Home,512,8,0,57990
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Core i5,Windows 11 Home,512,16,1,78468
Infinix,Core i3,Windows 11 Home,256,8,0,37999
HP,Core i5,Windows 11 Home,512,16,1,99999
HP,Core i7,Windows 11 Home,1000,16,1,138490
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i5,Windows 11 Home,512,16,0,53990
Lenovo,Core i3,Windows 11 Home,512,8,1,44400
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i5,Windows 11 Home,512,8,0,49990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,67990
Lenovo,Core i5,Windows 11 Home,512,8,1,46980
Acer,Core i3,Windows 11 Home,512,8,0,36990
HP,Athlon Dual Core,Windows 11 Home,256,8,1,24399
